,y,wind_speed,wind_dir_sin,wind_dir_cos,solar_irradiance,temp,pressure,humidity,f_wind_speed,f_wind_dir_sin,f_wind_dir_cos,f_solar_irradiance,f_temp,f_pressure,f_humidity,setpoints,altitude,f_energy_upload,f_energy_15m,f_energy_15m_np,ds
2023-02-01 00:00:00,0.0,4.488444444444444,0.664578536706034,0.7472184209116278,0.0,14.037777777777778,1018.47,59.93555555555555,4.614501953125,0.5862562205671005,0.8101256963251933,0.0,15.176665306091309,1018.2464599609375,53.2789306640625,500.0,-70.21461194901589,0.0,0.0,0.0,2023-02-01 00:00:00
2023-02-01 00:15:00,0.0,4.466292134831461,0.3997091931752976,0.9166420025785162,0.0,13.474157303370786,1018.48,60.45168539325842,4.176884174346924,0.5411795057592292,0.8409070950742397,0.0,15.053874969482422,1017.9813232421875,54.22947692871094,500.0,-73.00242880461057,,0.0,0.0,2023-02-01 00:15:00
2023-02-01 00:30:00,0.0,4.4702222222222225,0.49954648164074283,0.8662870844473874,0.0,13.927777777777777,1018.395,60.235955056179776,3.9064528942108154,0.5482887447915301,0.8362890961473362,0.0,14.972406387329102,1018.238037109375,54.07926940917969,500.0,-75.50429075809784,,0.0,0.0,2023-02-01 00:30:00
2023-02-01 00:45:00,0.0,5.032022471910112,0.5406808604176276,0.8412277974354235,0.0,14.10561797752809,1018.22,61.20227272727273,3.6355791091918945,0.5444884093716816,0.8387683661535502,0.0,14.70695972442627,1018.2503051757812,54.688499450683594,500.0,-77.54450608102222,,0.0,0.0,2023-02-01 00:45:00
2023-02-01 01:00:00,0.0,4.793444444444445,0.27563735581699916,0.9612616959383189,0.0,13.96111111111111,1018.12,58.95777777777778,3.3053858280181885,0.5733001228973688,0.8193454516172417,0.0,14.707151412963867,1018.0701293945312,55.05126953125,500.0,-78.86700310465837,0.0,0.0,0.0,2023-02-01 01:00:00
2023-02-01 01:15:00,0.0,5.147528089887641,0.23971974360934012,0.9708421316176344,0.0,13.641573033707864,1018.09,57.394382022471916,3.467121124267578,0.6519600290270399,0.7582533353379076,0.0,14.573868751525879,1017.9249877929688,55.11894226074219,500.0,-79.20920738212462,,0.0,0.0,2023-02-01 01:15:00
2023-02-01 01:30:00,0.0,4.683888888888889,0.25088689062883013,0.9680164090089576,0.0,13.976666666666668,1018.11,56.666666666666664,3.511760711669922,0.21537500890927283,0.9765314155403966,0.0,14.749242782592773,1017.8910522460938,56.25634002685547,500.0,-78.48541756617637,,0.0,0.0,2023-02-01 01:30:00
2023-02-01 01:45:00,0.0,3.7985555555555557,0.37703266854230555,0.9261999605116964,0.0,14.15,1018.06,55.067777777777785,3.4483768939971924,-0.16722442893179895,0.9859188558742721,0.0,14.600882530212402,1017.7667236328125,56.902244567871094,500.0,-76.86734326941449,,0.0,0.0,2023-02-01 01:45:00
2023-02-01 02:00:00,0.0,3.644269662921348,0.4553895288511199,0.8902922986372257,0.0,14.0,1018.04,52.417977528089885,3.7528395652770996,0.17260606948522245,0.9849909363932556,0.0,14.85234260559082,1017.2213134765625,56.63579559326172,500.0,-74.6324747792528,0.0,0.0,0.0,2023-02-01 02:00:00
2023-02-01 02:15:00,0.0,4.079111111111112,0.36779997704411144,0.9299049289504552,0.0,13.903333333333332,1018.09,52.01111111111111,3.7109570503234863,0.11445905409945319,0.9934279666561932,0.0,14.289668083190918,1017.4720458984375,57.12408447265625,500.0,-72.00956764480974,,0.0,0.0,2023-02-01 02:15:00
2023-02-01 02:30:00,0.0,4.270348837209302,0.22001646390111193,0.9754961586866709,0.0,13.877906976744185,1018.065,52.73255813953488,3.6792070865631104,0.06828140161458278,0.9976661015558002,0.0,14.280478477478027,1017.3751220703125,56.45513153076172,500.0,-69.14605989778086,,0.0,0.0,2023-02-01 02:30:00
2023-02-01 02:45:00,0.0,4.33752808988764,0.2405668718089917,0.9706325670345273,0.0,13.814606741573034,1017.94,53.79772727272727,3.5765111446380615,0.0021023382613080013,0.9999977900844756,0.0,14.420370101928711,1017.5841674804688,55.87748718261719,500.0,-66.13017568210904,,0.0,0.0,2023-02-01 02:45:00
2023-02-01 03:00:00,0.0,3.1674157303370785,0.1595366023984863,0.9871920139948192,0.0,14.057303370786515,1017.845,53.12247191011235,3.3993427753448486,-0.015458774270639635,0.9998805060096179,0.0,14.069933891296387,1017.3824462890625,55.58641052246094,500.0,-63.014809779455724,0.0,0.0,0.0,2023-02-01 03:00:00
2023-02-01 03:15:00,0.0,3.08,0.11892386757644086,0.9929033758229756,0.0,14.146511627906976,1017.72,51.82441860465116,3.2530312538146973,-0.1484548112950797,0.9889191923526119,0.0,14.236892700195312,1017.2794189453125,55.652069091796875,500.0,-59.83268633676186,,0.0,0.0,2023-02-01 03:15:00
2023-02-01 03:30:00,0.0,2.929222222222222,0.262862823298812,0.9648332167413068,0.0,14.326666666666668,1017.62,52.70337078651686,2.9874773025512695,-0.07900698488267456,0.9968740624270194,0.0,14.0037202835083,1017.4403076171875,56.391883850097656,500.0,-56.60488303772749,,0.0,0.0,2023-02-01 03:30:00
2023-02-01 03:45:00,0.0,2.553707865168539,0.03577161632534959,0.9993599909269292,0.0,13.886516853932585,1017.54,53.92134831460674,2.7754197120666504,-0.013783013642788626,0.9999050097558881,0.0,14.007673263549805,1017.4227294921875,54.82952880859375,500.0,-53.34555019790825,,0.0,0.0,2023-02-01 03:45:00
