,f_humidity,f_wind_speed,f_solar_irradiance,f_wind_dir
2022-06-23 06:45:00,76.9117202758789,2.1998441219329834,67.07550811767578,186.84658813476562
2022-06-23 07:00:00,76.74625396728516,2.214667320251465,74.3520736694336,186.66244506835938
2022-06-23 07:15:00,76.61730194091797,2.3125905990600586,95.60977172851562,205.0987091064453
2022-06-23 07:30:00,76.33792114257812,2.554373264312744,118.85557556152344,182.83233642578125
2022-06-23 07:45:00,76.71817779541016,2.845655918121338,150.57327270507812,143.3823699951172
2022-06-23 08:00:00,76.16790008544922,2.932018756866455,187.71762084960938,133.00498962402344
2022-06-23 08:15:00,75.48395538330078,3.143864870071411,226.85548400878906,134.35397338867188
2022-06-23 08:30:00,74.76070404052734,3.278165340423584,250.6804656982422,118.20567321777344
2022-06-23 08:45:00,74.361083984375,3.359992265701294,277.6849670410156,91.58680725097656
2022-06-23 09:00:00,73.695068359375,3.3801074028015137,323.9750061035156,73.10013580322266
2022-06-23 09:15:00,73.1607894897461,3.5003554821014404,371.6061096191406,65.08760070800781
2022-06-23 09:30:00,72.90568542480469,3.661677360534668,408.37347412109375,66.76365661621094
2022-06-23 09:45:00,72.06736755371094,3.7750725746154785,444.3642272949219,56.47516632080078
2022-06-23 10:00:00,72.23118591308594,3.824580192565918,488.28399658203125,39.46547317504883
2022-06-23 10:15:00,71.22216033935547,3.882833957672119,519.1600341796875,15.313834190368652
2022-06-23 10:30:00,70.92952728271484,3.9711101055145264,551.4073486328125,7.449864387512207
2022-06-23 10:45:00,70.25730895996094,3.8368144035339355,572.4046630859375,15.24898910522461
2022-06-23 11:00:00,70.1031265258789,3.967778205871582,601.5349731445312,17.114004135131836
2022-06-23 11:15:00,69.97449493408203,4.071023464202881,632.8712768554688,25.092775344848633
2022-06-23 11:30:00,69.2300796508789,4.152851581573486,662.7362670898438,13.194534301757812
2022-06-23 11:45:00,68.3611068725586,4.126646995544434,660.2429809570312,19.98799705505371
2022-06-23 12:00:00,68.33135986328125,4.013979911804199,652.038330078125,25.64764404296875
2022-06-23 12:15:00,68.36206817626953,4.277899742126465,647.2673950195312,12.184835433959961
2022-06-23 12:30:00,68.78099822998047,4.391751766204834,668.4113159179688,4.15853214263916
2022-06-23 12:45:00,69.46701049804688,4.308077812194824,665.591796875,-0.42409080266952515
2022-06-23 13:00:00,70.1475601196289,4.417666912078857,652.0283813476562,20.947587966918945
2022-06-23 13:15:00,69.5318603515625,4.438291072845459,643.0806884765625,31.126235961914062
2022-06-23 13:30:00,70.23937225341797,4.5498199462890625,648.930419921875,39.47475051879883
2022-06-23 13:45:00,70.10382080078125,4.573622703552246,654.64306640625,21.739776611328125
2022-06-23 14:00:00,70.42375183105469,4.6658430099487305,626.4338989257812,17.20743179321289
2022-06-23 14:15:00,70.90055847167969,4.717764854431152,603.1539916992188,19.564664840698242
2022-06-23 14:30:00,71.17273712158203,4.624671459197998,584.5801391601562,21.50190544128418
2022-06-23 14:45:00,71.20330810546875,4.5903496742248535,578.1600341796875,27.263046264648438
2022-06-23 15:00:00,71.47532653808594,4.6009745597839355,564.2554931640625,24.309980392456055
2022-06-23 15:15:00,71.55258178710938,4.707999229431152,537.2857055664062,28.55916976928711
2022-06-23 15:30:00,71.75914001464844,4.52097749710083,493.89361572265625,34.97903060913086
2022-06-23 15:45:00,72.56128692626953,4.535552978515625,462.8785705566406,24.069061279296875
2022-06-23 16:00:00,72.52436828613281,4.226486682891846,439.3558044433594,20.613914489746094
2022-06-23 16:15:00,71.8694076538086,4.399205207824707,401.7071838378906,30.35542106628418
2022-06-23 16:30:00,71.08010864257812,4.183830261230469,351.8737487792969,37.044925689697266
2022-06-23 16:45:00,69.35218048095703,4.170292377471924,316.832763671875,34.016780853271484
2022-06-23 17:00:00,69.0219955444336,4.037339210510254,292.0291442871094,25.887231826782227
2022-06-23 17:15:00,70.20282745361328,3.9120724201202393,261.5777587890625,12.185657501220703
2022-06-23 17:30:00,70.77239990234375,3.749981641769409,221.3424072265625,19.355073928833008
2022-06-23 17:45:00,71.33751678466797,3.4218950271606445,192.36578369140625,23.815349578857422
2022-06-23 18:00:00,72.80455017089844,3.341830015182495,167.81480407714844,35.87647247314453
2022-06-23 18:15:00,73.47708129882812,3.0279293060302734,144.552490234375,38.46212387084961
2022-06-23 18:30:00,74.32335662841797,2.9990041255950928,130.96299743652344,40.69853973388672
2022-06-23 18:45:00,74.72188568115234,2.968536853790283,111.79568481445312,29.11113929748535
2022-06-23 19:00:00,75.45579528808594,2.757354497909546,92.79884338378906,35.35615921020508
2022-06-23 19:15:00,76.2585678100586,2.629133701324463,90.45389556884766,36.23976135253906
2022-06-23 19:30:00,77.64128875732422,2.446997880935669,88.0149917602539,49.84219741821289
2022-06-23 19:45:00,78.82190704345703,2.189734697341919,86.89362335205078,63.253204345703125
2022-06-23 20:00:00,78.96726989746094,2.0926637649536133,82.054443359375,64.36756134033203
2022-06-23 20:15:00,79.77446746826172,2.02528977394104,90.54542541503906,75.33554077148438
2022-06-23 20:30:00,80.89595794677734,1.8321033716201782,89.50752258300781,80.39132690429688
2022-06-23 20:45:00,81.59101867675781,1.9870960712432861,88.56746673583984,79.09966278076172
2022-06-23 21:00:00,82.35536193847656,1.801682710647583,94.21402740478516,66.3602523803711
2022-06-23 21:15:00,82.34468078613281,1.8777234554290771,86.43159484863281,76.17327880859375
2022-06-23 21:30:00,81.99434661865234,1.805450677871704,81.8067626953125,70.44500732421875
2022-06-23 21:45:00,82.21675109863281,1.7223478555679321,83.3127670288086,95.43721771240234
2022-06-23 22:00:00,81.41999816894531,1.7190744876861572,77.23405456542969,108.57698059082031
2022-06-23 22:15:00,81.56028747558594,1.646525502204895,71.66148376464844,111.57650756835938
2022-06-23 22:30:00,81.21688842773438,1.430407166481018,76.26170349121094,120.04971313476562
