,f_wind_speed,f_pressure,f_humidity,f_solar_irradiance,f_wind_dir
2022-06-22 00:00:00,6.540362358093262,1015.9078979492188,70.64016723632812,0.0,75.60730743408203
2022-06-22 00:15:00,6.142020225524902,1015.85595703125,71.43600463867188,0.0,80.15113830566406
2022-06-22 00:30:00,5.719272613525391,1015.74462890625,72.25247192382812,0.0,75.22146606445312
2022-06-22 00:45:00,5.647087574005127,1015.5072631835938,72.28419494628906,0.0,74.15266418457031
2022-06-22 01:00:00,5.5537309646606445,1015.3666381835938,72.24479675292969,0.0,74.07074737548828
2022-06-22 01:15:00,5.484577178955078,1015.1591796875,72.92388916015625,0.0,75.44288635253906
2022-06-22 01:30:00,5.81315803527832,1015.0636596679688,73.68213653564453,0.0,67.48725128173828
2022-06-22 01:45:00,5.663863182067871,1015.0523681640625,73.86359405517578,0.0,68.86504364013672
2022-06-22 02:00:00,5.768548011779785,1015.0401000976562,74.7936782836914,0.0,72.8011703491211
2022-06-22 02:15:00,5.595889091491699,1014.8887939453125,74.91401672363281,0.0,67.67626953125
2022-06-22 02:30:00,5.951477527618408,1014.720458984375,75.5981674194336,0.0,63.87457275390625
2022-06-22 02:45:00,5.877985000610352,1014.729248046875,76.5347671508789,0.0,61.26432418823242
2022-06-22 03:00:00,5.770998477935791,1014.7233276367188,77.75812530517578,0.0,64.46250915527344
2022-06-22 03:15:00,5.804628372192383,1014.7117919921875,77.16881561279297,0.0,61.48957443237305
2022-06-22 03:30:00,5.4096360206604,1014.69580078125,76.7829360961914,0.0,56.097164154052734
2022-06-22 03:45:00,5.371731281280518,1014.7100219726562,77.0965347290039,0.0,58.671295166015625
2022-06-22 04:00:00,5.030745029449463,1014.6050415039062,78.0853042602539,0.0,65.27467346191406
2022-06-22 04:15:00,4.908143520355225,1014.8692626953125,74.72721099853516,0.0,62.029266357421875
2022-06-22 04:30:00,4.780784606933594,1014.87548828125,72.00614166259766,0.0,64.8083724975586
2022-06-22 04:45:00,4.48152494430542,1015.0875244140625,68.53103637695312,0.0,64.84574890136719
2022-06-22 05:00:00,4.414910793304443,1015.0501708984375,65.86231994628906,0.0,65.61553955078125
2022-06-22 05:15:00,3.899380922317505,1015.1150512695312,67.14452362060547,0.0,62.27144241333008
2022-06-22 05:30:00,3.611762523651123,1015.041748046875,68.09805297851562,0.0,67.1672134399414
2022-06-22 05:45:00,3.1723482608795166,1015.1095581054688,69.18907928466797,0.0,65.16280364990234
2022-06-22 06:00:00,2.8619096279144287,1015.2476806640625,70.41083526611328,0.0,71.7927474975586
2022-06-22 06:15:00,2.8705811500549316,1015.4463500976562,70.47438049316406,0.0,77.6185073852539
2022-06-22 06:30:00,2.832275629043579,1015.5352172851562,71.06281280517578,0.0,78.01141357421875
2022-06-22 06:45:00,2.823249340057373,1015.6702270507812,71.35814666748047,12.839910507202148,72.49072265625
2022-06-22 07:00:00,2.932265281677246,1015.919677734375,71.61039733886719,25.964962005615234,68.1081314086914
2022-06-22 07:15:00,3.1406965255737305,1015.9669799804688,71.94154357910156,45.561885833740234,79.18328857421875
2022-06-22 07:30:00,3.546940326690674,1016.1476440429688,70.86293029785156,74.38088989257812,74.235107421875
2022-06-22 07:45:00,3.8982467651367188,1016.2999267578125,71.38032531738281,110.91183471679688,76.77190399169922
2022-06-22 08:00:00,4.490435600280762,1016.3905639648438,72.11957550048828,145.33035278320312,76.76280212402344
2022-06-22 08:15:00,4.5700507164001465,1016.49560546875,70.81773376464844,188.10169982910156,74.3416976928711
2022-06-22 08:30:00,4.6203131675720215,1016.5015869140625,70.9133529663086,232.5017852783203,79.73367309570312
2022-06-22 08:45:00,5.044290065765381,1016.687255859375,70.7550048828125,280.3494567871094,75.591552734375
2022-06-22 09:00:00,4.830794334411621,1016.660400390625,70.72067260742188,328.5636901855469,72.16122436523438
2022-06-22 09:15:00,5.280893802642822,1016.5093994140625,70.38716125488281,389.2918701171875,80.65678405761719
2022-06-22 09:30:00,5.701615810394287,1016.3177490234375,70.8203353881836,435.9413146972656,70.10187530517578
2022-06-22 09:45:00,6.138575077056885,1016.1963500976562,69.74110412597656,473.7018737792969,74.46565246582031
2022-06-22 10:00:00,6.798116207122803,1016.119384765625,70.40451049804688,519.6517944335938,70.98237609863281
2022-06-22 10:15:00,6.629993438720703,1016.0902099609375,69.7643051147461,520.7783203125,76.43875885009766
2022-06-22 10:30:00,6.836910724639893,1016.0457763671875,68.34611511230469,518.1767578125,68.21041870117188
2022-06-22 10:45:00,6.743595600128174,1016.2940063476562,68.18382263183594,522.3447875976562,70.32117462158203
2022-06-22 11:00:00,6.659656524658203,1016.1544189453125,66.98930358886719,516.1378173828125,64.12141418457031
2022-06-22 11:15:00,6.51982307434082,1016.2830200195312,67.40465545654297,581.6591796875,76.11747741699219
2022-06-22 11:30:00,6.380314826965332,1016.3175659179688,67.75471496582031,637.5157470703125,72.77469635009766
2022-06-22 11:45:00,6.249969005584717,1016.2651977539062,68.16383361816406,697.5438842773438,71.912841796875
2022-06-22 12:00:00,6.460628986358643,1016.4010009765625,67.97942352294922,750.8410034179688,76.08950805664062
2022-06-22 12:15:00,6.46149206161499,1016.4800415039062,68.76506042480469,763.364013671875,79.27183532714844
2022-06-22 12:30:00,6.3497233390808105,1016.2841186523438,68.2366943359375,758.8212890625,80.76187133789062
2022-06-22 12:45:00,6.333606243133545,1016.2132568359375,68.80168914794922,762.9738159179688,76.33734130859375
2022-06-22 13:00:00,6.554904460906982,1016.1181030273438,69.20614624023438,763.4296264648438,76.84754943847656
