,y,wind_speed,wind_dir_sin,wind_dir_cos,solar_irradiance,temp,humidity,f_wind_speed,f_wind_dir_sin,f_wind_dir_cos,f_solar_irradiance,f_temp,f_humidity,setpoints,altitude,f_energy_upload,f_energy_15m,f_energy_15m_np,ds
2023-02-01 00:00:00,-380.0,1.8,0.13917310096006544,0.9902680687415704,0.0,14.55,67.25,2.950695514678955,0.5185699568025907,0.8550352038961666,0.0,14.971710205078125,60.98713684082031,4600.0,-70.21461194901589,4041.658203125,1528.977106362056,1154.349609375,2023-02-01 00:00:00
2023-02-01 00:15:00,-464.5625,1.4,-0.05233595624294437,0.9986295347545738,0.0,14.4,68.2,2.943068504333496,0.7755177834336875,0.6313257222528639,0.0,14.92171859741211,59.58338165283203,4600.0,-73.00242880461057,,1528.977106362056,1154.349609375,2023-02-01 00:15:00
2023-02-01 00:30:00,-549.125,1.35,-0.21643961393810288,0.9762960071199334,0.0,14.350000000000001,68.2,2.6194846630096436,0.48840133391983076,0.872619124833584,0.0,14.734024047851562,61.02992248535156,4600.0,-75.50429075809784,,1528.977106362056,1154.349609375,2023-02-01 00:30:00
2023-02-01 00:45:00,-633.6875,1.5,-0.5877852522924734,0.8090169943749473,0.0,14.3,69.3,2.264371395111084,0.19224393805447484,0.9813471701091858,0.0,14.692916870117188,61.787620544433594,4600.0,-77.54450608102222,,1528.977106362056,1154.349609375,2023-02-01 00:45:00
2023-02-01 01:00:00,-718.25,1.65,-0.3090169943749476,0.9510565162951535,0.0,14.350000000000001,69.30000000000001,2.1299121379852295,0.2688988423507342,0.9631684237880906,0.0,14.57316780090332,62.47863006591797,4600.0,-78.86700310465837,4902.805419921875,1528.977106362056,1154.349609375,2023-02-01 01:00:00
2023-02-01 01:15:00,-629.9375,2.1,-0.13917310096006588,0.9902680687415703,0.0,14.5,68.2,2.3541371822357178,0.3437519555371808,0.9390604842417575,0.0,14.803142547607422,61.974098205566406,4600.0,-79.20920738212462,,1380.9030441838268,994.704833984375,2023-02-01 01:15:00
2023-02-01 01:30:00,-541.625,2.1,0.224951054343865,0.9743700647852352,0.0,14.45,67.05000000000001,2.6188125610351562,0.31416248343465014,0.949369229542528,0.0,14.737844467163086,62.411468505859375,4600.0,-78.48541756617637,,1233.1701547014577,978.401611328125,2023-02-01 01:30:00
2023-02-01 01:45:00,-453.3125,1.9,0.39073112848927377,0.9205048534524404,0.0,14.8,63.2,2.7295165061950684,0.6095298238999446,0.792763138507652,0.0,14.840089797973633,62.50647735595703,4600.0,-76.86734326941449,,1092.1185532892337,698.2939453125,2023-02-01 01:45:00
2023-02-01 02:00:00,-365.0,1.5499999999999998,0.25881904510252074,0.9659258262890683,0.0,14.4,63.150000000000006,2.7398037910461426,0.7458410326605059,0.6661239779499836,0.0,14.763629913330078,63.37492370605469,4600.0,-74.6324747792528,5997.984375,960.8737283483549,615.802001953125,2023-02-01 02:00:00
2023-02-01 02:15:00,-291.4375,1.9,0.0697564737441253,0.9975640502598242,0.0,14.6,62.1,2.8777785301208496,0.6018484920490209,0.7986102883248622,0.0,14.789802551269531,62.300010681152344,4600.0,-72.00956764480974,,1048.2648795316034,887.71728515625,2023-02-01 02:15:00
2023-02-01 02:30:00,-217.875,1.75,-0.3090169943749476,0.9510565162951535,0.0,14.35,62.6,2.7004246711730957,0.5274292173105547,0.8495989764160358,0.0,14.839805603027344,63.086326599121094,4600.0,-69.14605989778086,,1141.428670710803,1122.133544921875,2023-02-01 02:30:00
2023-02-01 02:45:00,-144.3125,1.6,-0.1736481776669304,0.984807753012208,0.0,14.3,63.2,2.503286123275757,0.5451245106253233,0.8383550965524703,0.0,14.846277236938477,62.90925598144531,4600.0,-66.13017568210904,,1237.6626986405338,1225.080810546875,2023-02-01 02:45:00
2023-02-01 03:00:00,-70.75,1.25,-0.47715876025960874,0.8788171126619652,0.0,13.8,63.2,2.4881014823913574,0.45505310364298973,0.8904643018475712,0.0,14.65633773803711,62.065330505371094,4600.0,-63.014809779455724,7311.6201171875,1335.7591724648823,1320.962890625,2023-02-01 03:00:00
2023-02-01 03:15:00,-194.5,1.3,-0.5000000000000004,0.8660254037844384,0.0,13.8,63.3,2.457767963409424,0.42571901085523944,0.9048554159623716,0.0,14.842063903808594,63.13194274902344,4600.0,-59.83268633676186,,1308.5490596843952,1385.96142578125,2023-02-01 03:15:00
2023-02-01 03:30:00,-318.25,2.2,-0.5224985647159487,0.8526401643540923,0.0,14.2,62.8,2.5932624340057373,0.4352526030981558,0.9003083757781437,0.0,14.681163787841797,62.124786376953125,4600.0,-56.60488303772749,,1280.0836983483248,1291.61669921875,2023-02-01 03:30:00
2023-02-01 03:45:00,-442.0,1.6,-0.12186934340514723,0.9925461516413221,0.0,14.7,62.0,2.68445086479187,0.37823422631914283,0.9257099275911215,0.0,14.68062973022461,63.00419616699219,4600.0,-53.34555019790825,,1246.6731404188583,1269.46533203125,2023-02-01 03:45:00
2023-02-01 04:00:00,-565.75,1.25,0.3007057995042731,0.9537169507482269,0.0,15.1,61.5,2.693472146987915,0.32564563512615086,0.9454918933144196,0.0,14.523536682128906,63.03272247314453,4600.0,-50.064590361171206,6890.88134765625,1205.6841276072691,1156.242919921875,2023-02-01 04:00:00
2023-02-01 04:15:00,-592.75,1.8,0.3255681544571567,0.9455185755993168,0.0,15.2,63.1,2.7041831016540527,0.8797119690925086,0.4755069415217628,0.0,14.636302947998047,62.0941162109375,4600.0,-46.76923739489651,,1225.7165825205943,1222.0673828125,2023-02-01 04:15:00
